tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,37173,7951,8333947,143196,2017-08-01 16:23:56+00:00
892177421306343426,31971,5906,8333947,143196,2017-08-01 00:17:27+00:00
891815181378084864,24074,3904,8333946,143196,2017-07-31 00:18:03+00:00
891689557279858688,40486,8106,8333946,143196,2017-07-30 15:58:51+00:00
891327558926688256,38717,8788,8333946,143196,2017-07-29 16:00:24+00:00
891087950875897856,19467,2922,8333946,143196,2017-07-29 00:08:17+00:00
890971913173991426,11355,1940,8333946,143196,2017-07-28 16:27:12+00:00
890729181411237888,62705,17722,8333946,143196,2017-07-28 00:22:40+00:00
890609185150312448,26771,4022,8333946,143196,2017-07-27 16:25:51+00:00
890240255349198849,30670,6919,8333947,143196,2017-07-26 15:59:51+00:00
890006608113172480,29511,6883,8333947,143196,2017-07-26 00:31:25+00:00
889880896479866881,26761,4688,8333947,143196,2017-07-25 16:11:53+00:00
889665388333682689,46205,9428,8333947,143196,2017-07-25 01:55:32+00:00
889638837579907072,26036,4227,8333947,143196,2017-07-25 00:10:02+00:00
889531135344209921,14536,2117,8333947,143196,2017-07-24 17:02:04+00:00
889278841981685760,24250,5030,8333947,143196,2017-07-24 00:19:32+00:00
888917238123831296,27984,4227,8333947,143196,2017-07-23 00:22:39+00:00
888804989199671297,24583,4000,8333947,143196,2017-07-22 16:56:37+00:00
888554962724278272,19023,3303,8333947,143196,2017-07-22 00:23:06+00:00
888078434458587136,20916,3269,8333947,143196,2017-07-20 16:49:33+00:00
887705289381826560,29032,5055,8333947,143196,2017-07-19 16:06:48+00:00
887517139158093824,44527,11023,8333947,143196,2017-07-19 03:39:09+00:00
887473957103951883,66217,16942,8333947,143196,2017-07-19 00:47:34+00:00
887343217045368832,32366,9820,8333947,143196,2017-07-18 16:08:03+00:00
887101392804085760,29391,5602,8333947,143196,2017-07-18 00:07:08+00:00
886983233522544640,33713,7220,8333947,143196,2017-07-17 16:17:36+00:00
886736880519319552,11560,3047,8333947,143196,2017-07-16 23:58:41+00:00
886680336477933568,21556,4187,8333947,143196,2017-07-16 20:14:00+00:00
886366144734445568,20338,2998,8333947,143196,2017-07-15 23:25:31+00:00
886267009285017600,116,4,8333947,143196,2017-07-15 16:51:35+00:00
886258384151887873,26894,5933,8333947,143196,2017-07-15 16:17:19+00:00
886054160059072513,0,104,8333947,143196,2017-07-15 02:45:48+00:00
885984800019947520,31352,6343,8333947,143196,2017-07-14 22:10:11+00:00
885528943205470208,34574,6019,8333947,143196,2017-07-13 15:58:47+00:00
885518971528720385,19662,3504,8333947,143196,2017-07-13 15:19:09+00:00
885311592912609280,0,17415,8333948,143196,2017-07-13 01:35:06+00:00
885167619883638784,21046,4112,8333948,143196,2017-07-12 16:03:00+00:00
884925521741709313,74331,17040,8333949,143196,2017-07-12 00:01:00+00:00
884876753390489601,26822,5266,8333949,143196,2017-07-11 20:47:12+00:00
884562892145688576,23357,4429,8333949,143196,2017-07-11 00:00:02+00:00
884441805382717440,25988,5345,8333949,143196,2017-07-10 15:58:53+00:00
884247878851493888,70039,19114,8333949,143196,2017-07-10 03:08:17+00:00
884162670584377345,19579,2806,8333949,143196,2017-07-09 21:29:42+00:00
883838122936631299,21003,3250,8333949,143196,2017-07-09 00:00:04+00:00
883482846933004288,44129,9310,8333948,143196,2017-07-08 00:28:19+00:00
883360690899218434,21799,3485,8333948,143196,2017-07-07 16:22:55+00:00
883117836046086144,35701,6254,8333948,143196,2017-07-07 00:17:54+00:00
882992080364220416,22979,3674,8333948,143196,2017-07-06 15:58:11+00:00
882762694511734784,27179,4605,8333948,143196,2017-07-06 00:46:41+00:00
882627270321602560,26850,5712,8333948,143196,2017-07-05 15:48:34+00:00
882268110199369728,43180,10902,8333948,143196,2017-07-04 16:01:23+00:00
882045870035918850,28192,4607,8333948,143196,2017-07-04 01:18:17+00:00
881906580714921986,23372,3201,8333948,143196,2017-07-03 16:04:48+00:00
881666595344535552,48705,10040,8333948,143196,2017-07-03 00:11:11+00:00
881633300179243008,121,7,8333948,143196,2017-07-02 21:58:53+00:00
881536004380872706,47543,15016,8333948,143196,2017-07-02 15:32:16+00:00
881268444196462592,22269,4932,8333948,143196,2017-07-01 21:49:04+00:00
880935762899988482,16379,2629,8333948,143196,2017-06-30 23:47:07+00:00
880872448815771648,20460,3596,8333948,143196,2017-06-30 19:35:32+00:00
880465832366813184,27419,5873,8333948,143196,2017-06-29 16:39:47+00:00
880221127280381952,25967,3963,8333948,143196,2017-06-29 00:27:25+00:00
880095782870896641,26579,4087,8333948,143196,2017-06-28 16:09:20+00:00
879862464715927552,21497,3289,8333948,143196,2017-06-28 00:42:13+00:00
879674319642796034,301,10,8333948,143196,2017-06-27 12:14:36+00:00
879492040517615616,22570,2997,8333948,143196,2017-06-27 00:10:17+00:00
879415818425184262,101847,41805,8333948,143196,2017-06-26 19:07:24+00:00
879376492567855104,16180,2941,8333948,143196,2017-06-26 16:31:08+00:00
879130579576475649,0,6423,8333948,143196,2017-06-26 00:13:58+00:00
879050749262655488,21681,4410,8333948,143196,2017-06-25 18:56:45+00:00
879008229531029506,18256,2536,8333948,143196,2017-06-25 16:07:47+00:00
878776093423087618,18649,3866,8333948,143196,2017-06-25 00:45:22+00:00
878604707211726852,29050,6728,8333948,143196,2017-06-24 13:24:20+00:00
878404777348136964,0,1219,8333948,143196,2017-06-24 00:09:53+00:00
878316110768087041,0,6298,8333948,143196,2017-06-23 18:17:33+00:00
878281511006478336,7434,1219,8333948,143196,2017-06-23 16:00:04+00:00
878057613040115712,40496,6423,8333948,143196,2017-06-23 01:10:23+00:00
877736472329191424,76645,17952,8333948,143196,2017-06-22 03:54:17+00:00
877611172832227328,0,77,8333948,143196,2017-06-21 19:36:23+00:00
877556246731214848,21858,3596,8333948,143196,2017-06-21 15:58:08+00:00
877316821321428993,26368,4886,8333948,143196,2017-06-21 00:06:44+00:00
877201837425926144,26118,5275,8333948,143196,2017-06-20 16:29:50+00:00
876838120628539392,19952,3153,8333948,143196,2017-06-19 16:24:33+00:00
876537666061221889,22723,4409,8333948,143196,2017-06-18 20:30:39+00:00
876484053909872640,18076,2254,8333948,143196,2017-06-18 16:57:37+00:00
876120275196170240,26912,4417,8333948,143196,2017-06-17 16:52:05+00:00
875747767867523072,24255,4034,8333948,143196,2017-06-16 16:11:53+00:00
